Car ID,Timestamp,Pixel_X,Pixel_Y,Actual_X,Actual_Y,Heading
test_003_car_1,00:00:00.100,58.00,256.00,-0.6508968529104593,-1.789692655108395,0
test_003_car_1,00:00:00.133,58.50,256.00,-0.6508968529104593,-1.7892465192695808,180
test_003_car_1,00:00:00.167,58.50,256.00,-0.6508968529104593,-1.7892465192695808,0
test_003_car_1,00:00:00.200,58.50,256.00,-0.6508968529104593,-1.7892465192695808,0
test_003_car_1,00:00:00.233,58.00,256.00,-0.6508968529104593,-1.789692655108395,0
test_003_car_1,00:00:00.267,61.50,255.00,-0.6504011520619907,-1.785209113669575,-96.30900499949155
test_003_car_1,00:00:00.300,67.00,255.00,-0.6504011520619907,-1.780305356822883,180
test_003_car_1,00:00:00.333,72.50,255.00,-0.6504011520619907,-1.7754015999761912,180
test_003_car_1,00:00:00.367,77.50,254.00,-0.649906205656691,-1.769595975252564,-94.87284937491182
test_003_car_1,00:00:00.400,83.00,253.00,-0.6494120119735066,-1.7633540617089924,-94.52686017673216
test_003_car_1,00:00:00.433,87.50,255.00,-0.6504011520619907,-1.7620277176670316,-53.28573709440252
test_003_car_1,00:00:00.467,93.00,253.00,-0.6494120119735066,-1.7544516996403385,-97.43857510868747
test_003_car_1,00:00:00.500,98.00,256.00,-0.6508968529104593,-1.7540017880032588,-16.85697935962719
test_003_car_1,00:00:00.533,102.50,256.00,-0.6508968529104593,-1.749986565453931,180
test_003_car_1,00:00:00.567,107.00,256.00,-0.6508968529104593,-1.7459713429046033,180
test_003_car_1,00:00:00.600,112.50,256.00,-0.6508968529104593,-1.741063848677647,180
test_003_car_1,00:00:00.633,119.00,255.00,-0.6504011520619907,-1.733942564817796,-93.98184209290088
test_003_car_1,00:00:00.667,123.50,254.00,-0.649906205656691,-1.7286139466866643,-95.30666764375087
test_003_car_1,00:00:00.700,132.50,253.00,-0.6494120119735066,-1.7192873694691548,-93.03313381210381
test_003_car_1,00:00:00.733,140.50,253.00,-0.6494120119735066,-1.7121654798142316,180
test_003_car_1,00:00:00.767,150.00,252.00,-0.6489185692966156,-1.702413707357023,-92.89671346013091
test_003_car_1,00:00:00.800,161.00,251.00,-0.6484258759154063,-1.6913434164584011,-92.54831920017455
test_003_car_1,00:00:00.833,171.00,250.00,-0.6479339301244587,-1.6811781331113973,-92.77065014767192
test_003_car_1,00:00:00.867,181.00,249.00,-0.647442730223524,-1.6710282624042967,-92.77065014767135
test_003_car_1,00:00:00.900,190.50,249.00,-0.647442730223524,-1.662596664247728,180
test_003_car_1,00:00:00.933,200.00,247.00,-0.6464625613164394,-1.6516608119088498,-95.12167479238849
test_003_car_1,00:00:00.967,209.00,246.00,-0.6459735889354739,-1.6424418217851258,-93.03610546694637
test_003_car_1,00:00:01.000,218.00,246.00,-0.6459735889354739,-1.634472117494911,180
test_003_car_1,00:00:01.032,227.00,245.00,-0.6454853556948517,-1.6252730865608818,-93.03808980416778
test_003_car_1,00:00:01.066,236.50,245.00,-0.6454853556948517,-1.6168669791461152,180
test_003_car_1,00:00:01.100,245.00,245.00,-0.6454853556948517,-1.6093457251434293,180
test_003_car_1,00:00:01.133,253.50,244.00,-0.6449978599198896,-1.600614710679065,-93.19578886284
test_003_car_1,00:00:01.167,262.00,243.00,-0.64451109994096,-1.5918968742690194,-93.19578886283978
test_003_car_1,00:00:01.199,270.00,243.00,-0.64451109994096,-1.5848287313173612,180
test_003_car_1,00:00:01.233,278.50,242.00,-0.6440250740934714,-1.5761293732358166,-93.1977428567705
test_003_car_1,00:00:01.266,287.50,242.00,-0.6440250740934714,-1.5681837087629593,180
test_003_car_1,00:00:01.300,296.50,241.00,-0.6435397807178498,-1.5590623553025997,-93.04549877855914
test_003_car_1,00:00:01.332,304.00,240.00,-0.6430552181595193,-1.5512770210960867,-93.56151980972197
test_003_car_1,00:00:01.367,312.00,240.00,-0.6430552181595193,-1.5442248443249222,180
test_003_car_1,00:00:01.399,320.00,240.00,-0.6430552181595193,-1.5371726675537578,180
test_003_car_1,00:00:01.433,333.50,239.00,-0.6425713847688838,-1.5241245077250412,-92.12358804975793
test_003_car_1,00:00:01.467,337.50,238.00,-0.6420882789013077,-1.5194578354883985,-95.91035231714017
test_003_car_1,00:00:01.500,343.50,238.00,-0.6420882789013077,-1.5141766559905498,180
test_003_car_1,00:00:01.532,350.00,238.00,-0.6420882789013077,-1.508455378201214,180
test_003_car_1,00:00:01.567,357.00,238.00,-0.6420882789013077,-1.5022940021203908,180
test_003_car_1,00:00:01.600,364.50,237.00,-0.6416058989170984,-1.4945688627293825,-93.57307460099855
test_003_car_1,00:00:01.633,372.00,236.00,-0.6411242431814863,-1.4868553219153275,-93.57307460099895
test_003_car_1,00:00:01.667,378.50,235.00,-0.6406433100646073,-1.4800315693467971,-94.03149841960601
test_003_car_1,00:00:01.700,385.00,235.00,-0.6406433100646073,-1.4743231668401655,180
test_003_car_1,00:00:01.733,392.00,235.00,-0.6406433100646073,-1.468175656448408,180
test_003_car_1,00:00:01.766,399.50,236.00,-0.6411242431814863,-1.4626862580451754,-84.99302910734417
test_003_car_1,00:00:01.800,406.50,235.00,-0.6406433100646073,-1.4554415277797674,-93.79794226397712
test_003_car_1,00:00:01.833,412.50,234.00,-0.6401630979414842,-1.449085215974067,-94.32042361639685
test_003_car_1,00:00:01.867,419.00,234.00,-0.6401630979414842,-1.4433810923602983,180
test_003_car_1,00:00:01.899,424.50,234.00,-0.6401630979414842,-1.438554526225571,180
test_003_car_1,00:00:01.933,431.00,233.00,-0.6396836051920082,-1.4317771739590643,-94.04689158320423
test_003_car_1,00:00:01.967,437.00,233.00,-0.6396836051920082,-1.4265157729152227,180
test_003_car_1,00:00:02.000,442.00,233.00,-0.6396836051920082,-1.4221312720453547,180
test_003_car_1,00:00:02.032,448.50,233.00,-0.6396836051920082,-1.4164314209145263,180
test_003_car_1,00:00:02.067,455.50,233.00,-0.6396836051920082,-1.410293119696711,180
test_003_car_1,00:00:02.100,462.00,232.00,-0.6392048302009208,-1.4035419923971943,-94.0564983493868
test_003_car_1,00:00:02.133,467.50,231.00,-0.6387267713577958,-1.3976765518955663,-94.65955503225803
test_003_car_1,00:00:02.166,473.00,231.00,-0.6387267713577958,-1.3928608150717903,180
test_003_car_1,00:00:02.200,479.50,231.00,-0.6387267713577958,-1.3871694897346005,180
test_003_car_1,00:00:02.233,485.00,231.00,-0.6387267713577958,-1.3823537529108247,180
